##Formulas are in linux filename wild-card
##Note switching from wild-card to regex formulas is by replacing '.*' by '*'
#Category	Sub-category	Source	Subtool
Transcription factor binding sites (search by cell/tissue type)	BC_Skin_01-11002	ENCODE	Encode:Cell, tissue or DNA sample=BC_Skin_01-11002
Transcription factor binding sites (search by cell/tissue type)	BC_Small_Intestine_01-11002	ENCODE	Encode:Cell, tissue or DNA sample=BC_Small_Intestine_01-11002
Transcription factor binding sites (search by cell/tissue type)	BC_Stomach_01-11002	ENCODE	Encode:Cell, tissue or DNA sample=BC_Stomach_01-11002
Transcription factor binding sites (search by cell/tissue type)	BC_Testis_N30	ENCODE	Encode:Cell, tissue or DNA sample=BC_Testis_N30
Transcription factor binding sites (search by cell/tissue type)	BC_Uterus_BN0765	ENCODE	Encode:Cell, tissue or DNA sample=BC_Uterus_BN0765
Transcription factor binding sites (search by cell/tissue type)	BE2_C	ENCODE	Encode:Cell, tissue or DNA sample=BE2_C
Transcription factor binding sites (search by cell/tissue type)	BG02ES	ENCODE	Encode:Cell, tissue or DNA sample=BG02ES
Transcription factor binding sites (search by cell/tissue type)	BJ	ENCODE	Encode:Cell, tissue or DNA sample=BJ
Transcription factor binding sites (search by cell/tissue type)	CD20+	ENCODE	Encode:Cell, tissue or DNA sample=CD20+
Transcription factor binding sites (search by cell/tissue type)	CD20+_RO01778	ENCODE	Encode:Cell, tissue or DNA sample=CD20+_RO01778
Transcription factor binding sites (search by cell/tissue type)	CD20+_RO01794	ENCODE	Encode:Cell, tissue or DNA sample=CD20+_RO01794
Transcription factor binding sites (search by cell/tissue type)	CD34+_Mobilized	ENCODE	Encode:Cell, tissue or DNA sample=CD34+_Mobilized
Transcription factor binding sites (search by cell/tissue type)	CD4+_Naive_Wb11970640	ENCODE	Encode:Cell, tissue or DNA sample=CD4+_Naive_Wb11970640
Transcription factor binding sites (search by cell/tissue type)	CD4+_Naive_Wb78495824	ENCODE	Encode:Cell, tissue or DNA sample=CD4+_Naive_Wb78495824
Transcription factor binding sites (search by cell/tissue type)	CLL	ENCODE	Encode:Cell, tissue or DNA sample=CLL
Transcription factor binding sites (search by cell/tissue type)	CMK	ENCODE	Encode:Cell, tissue or DNA sample=CMK
Transcription factor binding sites (search by cell/tissue type)	Caco-2	ENCODE	Encode:Cell, tissue or DNA sample=Caco-2
Transcription factor binding sites (search by cell/tissue type)	Cerebellum_OC	ENCODE	Encode:Cell, tissue or DNA sample=Cerebellum_OC
Transcription factor binding sites (search by cell/tissue type)	Cerebrum_frontal_OC	ENCODE	Encode:Cell, tissue or DNA sample=Cerebrum_frontal_OC
Transcription factor binding sites (search by cell/tissue type)	Chorion	ENCODE	Encode:Cell, tissue or DNA sample=Chorion
Transcription factor binding sites (search by cell/tissue type)	Colo829	ENCODE	Encode:Cell, tissue or DNA sample=Colo829
Transcription factor binding sites (search by cell/tissue type)	Colon_OC	ENCODE	Encode:Cell, tissue or DNA sample=Colon_OC
Transcription factor binding sites (search by cell/tissue type)	Dnd41	ENCODE	Encode:Cell, tissue or DNA sample=Dnd41
Transcription factor binding sites (search by cell/tissue type)	ECC-1	ENCODE	Encode:Cell, tissue or DNA sample=ECC-1
Transcription factor binding sites (search by cell/tissue type)	Endometrium_OC	ENCODE	Encode:Cell, tissue or DNA sample=Endometrium_OC
Transcription factor binding sites (search by cell/tissue type)	FibroP	ENCODE	Encode:Cell, tissue or DNA sample=FibroP
Transcription factor binding sites (search by cell/tissue type)	FibroP_AG08395	ENCODE	Encode:Cell, tissue or DNA sample=FibroP_AG08395
Transcription factor binding sites (search by cell/tissue type)	FibroP_AG08396	ENCODE	Encode:Cell, tissue or DNA sample=FibroP_AG08396
Transcription factor binding sites (search by cell/tissue type)	FibroP_AG20443	ENCODE	Encode:Cell, tissue or DNA sample=FibroP_AG20443
Transcription factor binding sites (search by cell/tissue type)	Fibrobl	ENCODE	Encode:Cell, tissue or DNA sample=Fibrobl
Transcription factor binding sites (search by cell/tissue type)	Fibrobl_GM03348	ENCODE	Encode:Cell, tissue or DNA sample=Fibrobl_GM03348
Transcription factor binding sites (search by cell/tissue type)	Frontal_cortex_OC	ENCODE	Encode:Cell, tissue or DNA sample=Frontal_cortex_OC
Transcription factor binding sites (search by cell/tissue type)	GC_B_cell	ENCODE	Encode:Cell, tissue or DNA sample=GC_B_cell
Transcription factor binding sites (search by cell/tissue type)	GM04503	ENCODE	Encode:Cell, tissue or DNA sample=GM04503
Transcription factor binding sites (search by cell/tissue type)	GM04504	ENCODE	Encode:Cell, tissue or DNA sample=GM04504
Transcription factor binding sites (search by cell/tissue type)	GM06990	ENCODE	Encode:Cell, tissue or DNA sample=GM06990
Transcription factor binding sites (search by cell/tissue type)	GM08714	ENCODE	Encode:Cell, tissue or DNA sample=GM08714
Transcription factor binding sites (search by cell/tissue type)	GM10248	ENCODE	Encode:Cell, tissue or DNA sample=GM10248
Transcription factor binding sites (search by cell/tissue type)	GM10266	ENCODE	Encode:Cell, tissue or DNA sample=GM10266
Transcription factor binding sites (search by cell/tissue type)	GM10847	ENCODE	Encode:Cell, tissue or DNA sample=GM10847
Transcription factor binding sites (search by cell/tissue type)	GM12801	ENCODE	Encode:Cell, tissue or DNA sample=GM12801
Transcription factor binding sites (search by cell/tissue type)	GM12812	ENCODE	Encode:Cell, tissue or DNA sample=GM12812
Transcription factor binding sites (search by cell/tissue type)	GM12813	ENCODE	Encode:Cell, tissue or DNA sample=GM12813
Transcription factor binding sites (search by cell/tissue type)	GM12864	ENCODE	Encode:Cell, tissue or DNA sample=GM12864
Transcription factor binding sites (search by cell/tissue type)	GM12865	ENCODE	Encode:Cell, tissue or DNA sample=GM12865
Transcription factor binding sites (search by cell/tissue type)	GM12866	ENCODE	Encode:Cell, tissue or DNA sample=GM12866
Transcription factor binding sites (search by cell/tissue type)	GM12867	ENCODE	Encode:Cell, tissue or DNA sample=GM12867
Transcription factor binding sites (search by cell/tissue type)	GM12868	ENCODE	Encode:Cell, tissue or DNA sample=GM12868
Transcription factor binding sites (search by cell/tissue type)	GM12869	ENCODE	Encode:Cell, tissue or DNA sample=GM12869
Transcription factor binding sites (search by cell/tissue type)	GM12870	ENCODE	Encode:Cell, tissue or DNA sample=GM12870
Transcription factor binding sites (search by cell/tissue type)	GM12871	ENCODE	Encode:Cell, tissue or DNA sample=GM12871
Transcription factor binding sites (search by cell/tissue type)	GM12872	ENCODE	Encode:Cell, tissue or DNA sample=GM12872
Transcription factor binding sites (search by cell/tissue type)	GM12873	ENCODE	Encode:Cell, tissue or DNA sample=GM12873
Transcription factor binding sites (search by cell/tissue type)	GM12874	ENCODE	Encode:Cell, tissue or DNA sample=GM12874
Transcription factor binding sites (search by cell/tissue type)	GM12875	ENCODE	Encode:Cell, tissue or DNA sample=GM12875
Transcription factor binding sites (search by cell/tissue type)	GM12878	ENCODE	Encode:Cell, tissue or DNA sample=GM12878
Transcription factor binding sites (search by cell/tissue type)	GM12878-XiMat	ENCODE	Encode:Cell, tissue or DNA sample=GM12878-XiMat
Transcription factor binding sites (search by cell/tissue type)	GM12891	ENCODE	Encode:Cell, tissue or DNA sample=GM12891
Transcription factor binding sites (search by cell/tissue type)	GM12892	ENCODE	Encode:Cell, tissue or DNA sample=GM12892
Transcription factor binding sites (search by cell/tissue type)	GM13976	ENCODE	Encode:Cell, tissue or DNA sample=GM13976
Transcription factor binding sites (search by cell/tissue type)	GM13977	ENCODE	Encode:Cell, tissue or DNA sample=GM13977
Transcription factor binding sites (search by cell/tissue type)	GM15510	ENCODE	Encode:Cell, tissue or DNA sample=GM15510
Transcription factor binding sites (search by cell/tissue type)	GM18505	ENCODE	Encode:Cell, tissue or DNA sample=GM18505
Transcription factor binding sites (search by cell/tissue type)	GM18507	ENCODE	Encode:Cell, tissue or DNA sample=GM18507
Transcription factor binding sites (search by cell/tissue type)	GM18526	ENCODE	Encode:Cell, tissue or DNA sample=GM18526
Transcription factor binding sites (search by cell/tissue type)	GM18951	ENCODE	Encode:Cell, tissue or DNA sample=GM18951
Transcription factor binding sites (search by cell/tissue type)	GM19099	ENCODE	Encode:Cell, tissue or DNA sample=GM19099
Transcription factor binding sites (search by cell/tissue type)	GM19193	ENCODE	Encode:Cell, tissue or DNA sample=GM19193
Transcription factor binding sites (search by cell/tissue type)	GM19238	ENCODE	Encode:Cell, tissue or DNA sample=GM19238
Transcription factor binding sites (search by cell/tissue type)	GM19239	ENCODE	Encode:Cell, tissue or DNA sample=GM19239
Transcription factor binding sites (search by cell/tissue type)	GM19240	ENCODE	Encode:Cell, tissue or DNA sample=GM19240
Transcription factor binding sites (search by cell/tissue type)	GM20000	ENCODE	Encode:Cell, tissue or DNA sample=GM20000
Transcription factor binding sites (search by cell/tissue type)	Gliobla	ENCODE	Encode:Cell, tissue or DNA sample=Gliobla
Transcription factor binding sites (search by cell/tissue type)	H1	ENCODE	Encode:Cell, tissue or DNA sample=H1
Transcription factor binding sites (search by cell/tissue type)	H1-hESC	ENCODE	Encode:Cell, tissue or DNA sample=H1-hESC
Transcription factor binding sites (search by cell/tissue type)	H1-neurons	ENCODE	Encode:Cell, tissue or DNA sample=H1-neurons
Transcription factor binding sites (search by cell/tissue type)	H7-hESC	ENCODE	Encode:Cell, tissue or DNA sample=H7-hESC
Transcription factor binding sites (search by cell/tissue type)	H9ES	ENCODE	Encode:Cell, tissue or DNA sample=H9ES
Transcription factor binding sites (search by cell/tissue type)	HA-h	ENCODE	Encode:Cell, tissue or DNA sample=HA-h
Transcription factor binding sites (search by cell/tissue type)	HA-sp	ENCODE	Encode:Cell, tissue or DNA sample=HA-sp
Transcription factor binding sites (search by cell/tissue type)	HAEpiC	ENCODE	Encode:Cell, tissue or DNA sample=HAEpiC
Transcription factor binding sites (search by cell/tissue type)	HAc	ENCODE	Encode:Cell, tissue or DNA sample=HAc
Transcription factor binding sites (search by cell/tissue type)	HAoAF	ENCODE	Encode:Cell, tissue or DNA sample=HAoAF
Transcription factor binding sites (search by cell/tissue type)	HAoEC	ENCODE	Encode:Cell, tissue or DNA sample=HAoEC
Transcription factor binding sites (search by cell/tissue type)	HBMEC	ENCODE	Encode:Cell, tissue or DNA sample=HBMEC
Transcription factor binding sites (search by cell/tissue type)	HBVP	ENCODE	Encode:Cell, tissue or DNA sample=HBVP
Transcription factor binding sites (search by cell/tissue type)	HBVSMC	ENCODE	Encode:Cell, tissue or DNA sample=HBVSMC
Transcription factor binding sites (search by cell/tissue type)	HCF	ENCODE	Encode:Cell, tissue or DNA sample=HCF
Transcription factor binding sites (search by cell/tissue type)	HCFaa	ENCODE	Encode:Cell, tissue or DNA sample=HCFaa
Transcription factor binding sites (search by cell/tissue type)	HCH	ENCODE	Encode:Cell, tissue or DNA sample=HCH
Transcription factor binding sites (search by cell/tissue type)	HCM	ENCODE	Encode:Cell, tissue or DNA sample=HCM
Transcription factor binding sites (search by cell/tissue type)	HCPEpiC	ENCODE	Encode:Cell, tissue or DNA sample=HCPEpiC
Transcription factor binding sites (search by cell/tissue type)	HCT-116	ENCODE	Encode:Cell, tissue or DNA sample=HCT-116
Transcription factor binding sites (search by cell/tissue type)	HConF	ENCODE	Encode:Cell, tissue or DNA sample=HConF
Transcription factor binding sites (search by cell/tissue type)	HEEpiC	ENCODE	Encode:Cell, tissue or DNA sample=HEEpiC
Transcription factor binding sites (search by cell/tissue type)	HEK293	ENCODE	Encode:Cell, tissue or DNA sample=HEK293
Transcription factor binding sites (search by cell/tissue type)	HEK293(b)	ENCODE	Encode:Cell, tissue or DNA sample=HEK293(b)
Transcription factor binding sites (search by cell/tissue type)	HEK293-T-REx	ENCODE	Encode:Cell, tissue or DNA sample=HEK293-T-REx
Transcription factor binding sites (search by cell/tissue type)	HEK293T	ENCODE	Encode:Cell, tissue or DNA sample=HEK293T
Transcription factor binding sites (search by cell/tissue type)	HFDPC	ENCODE	Encode:Cell, tissue or DNA sample=HFDPC
Transcription factor binding sites (search by cell/tissue type)	HFF	ENCODE	Encode:Cell, tissue or DNA sample=HFF
Transcription factor binding sites (search by cell/tissue type)	HFF-Myc	ENCODE	Encode:Cell, tissue or DNA sample=HFF-Myc
Transcription factor binding sites (search by cell/tissue type)	HGF	ENCODE	Encode:Cell, tissue or DNA sample=HGF
Transcription factor binding sites (search by cell/tissue type)	HIPEpiC	ENCODE	Encode:Cell, tissue or DNA sample=HIPEpiC
Transcription factor binding sites (search by cell/tissue type)	HL-60	ENCODE	Encode:Cell, tissue or DNA sample=HL-60
Transcription factor binding sites (search by cell/tissue type)	HMEC	ENCODE	Encode:Cell, tissue or DNA sample=HMEC
Transcription factor binding sites (search by cell/tissue type)	HMEpC	ENCODE	Encode:Cell, tissue or DNA sample=HMEpC
Transcription factor binding sites (search by cell/tissue type)	HMF	ENCODE	Encode:Cell, tissue or DNA sample=HMF
Transcription factor binding sites (search by cell/tissue type)	HMVEC-LBl	ENCODE	Encode:Cell, tissue or DNA sample=HMVEC-LBl
Transcription factor binding sites (search by cell/tissue type)	HMVEC-LLy	ENCODE	Encode:Cell, tissue or DNA sample=HMVEC-LLy
Transcription factor binding sites (search by cell/tissue type)	HMVEC-dAd	ENCODE	Encode:Cell, tissue or DNA sample=HMVEC-dAd
Transcription factor binding sites (search by cell/tissue type)	HMVEC-dBl-Ad	ENCODE	Encode:Cell, tissue or DNA sample=HMVEC-dBl-Ad
Transcription factor binding sites (search by cell/tissue type)	HMVEC-dBl-Neo	ENCODE	Encode:Cell, tissue or DNA sample=HMVEC-dBl-Neo
Transcription factor binding sites (search by cell/tissue type)	HMVEC-dLy-Ad	ENCODE	Encode:Cell, tissue or DNA sample=HMVEC-dLy-Ad
Transcription factor binding sites (search by cell/tissue type)	HMVEC-dLy-Neo	ENCODE	Encode:Cell, tissue or DNA sample=HMVEC-dLy-Neo
Transcription factor binding sites (search by cell/tissue type)	HMVEC-dNeo	ENCODE	Encode:Cell, tissue or DNA sample=HMVEC-dNeo
Transcription factor binding sites (search by cell/tissue type)	HNPCEpiC	ENCODE	Encode:Cell, tissue or DNA sample=HNPCEpiC
Transcription factor binding sites (search by cell/tissue type)	HOB	ENCODE	Encode:Cell, tissue or DNA sample=HOB
Transcription factor binding sites (search by cell/tissue type)	HPAEC	ENCODE	Encode:Cell, tissue or DNA sample=HPAEC
Transcription factor binding sites (search by cell/tissue type)	HPAEpiC	ENCODE	Encode:Cell, tissue or DNA sample=HPAEpiC
Transcription factor binding sites (search by cell/tissue type)	HPAF	ENCODE	Encode:Cell, tissue or DNA sample=HPAF
Transcription factor binding sites (search by cell/tissue type)	HPC-PL	ENCODE	Encode:Cell, tissue or DNA sample=HPC-PL
Transcription factor binding sites (search by cell/tissue type)	HPDE6-E6E7	ENCODE	Encode:Cell, tissue or DNA sample=HPDE6-E6E7
Transcription factor binding sites (search by cell/tissue type)	HPF	ENCODE	Encode:Cell, tissue or DNA sample=HPF
Transcription factor binding sites (search by cell/tissue type)	HPIEpC	ENCODE	Encode:Cell, tissue or DNA sample=HPIEpC
Transcription factor binding sites (search by cell/tissue type)	HPdLF	ENCODE	Encode:Cell, tissue or DNA sample=HPdLF
Transcription factor binding sites (search by cell/tissue type)	HRCEpiC	ENCODE	Encode:Cell, tissue or DNA sample=HRCEpiC
Transcription factor binding sites (search by cell/tissue type)	HRE	ENCODE	Encode:Cell, tissue or DNA sample=HRE
Transcription factor binding sites (search by cell/tissue type)	HRGEC	ENCODE	Encode:Cell, tissue or DNA sample=HRGEC
Transcription factor binding sites (search by cell/tissue type)	HRPEpiC	ENCODE	Encode:Cell, tissue or DNA sample=HRPEpiC
Transcription factor binding sites (search by cell/tissue type)	HSMM	ENCODE	Encode:Cell, tissue or DNA sample=HSMM
Transcription factor binding sites (search by cell/tissue type)	HSMM_FSHD	ENCODE	Encode:Cell, tissue or DNA sample=HSMM_FSHD
Transcription factor binding sites (search by cell/tissue type)	HSMM_emb	ENCODE	Encode:Cell, tissue or DNA sample=HSMM_emb
Transcription factor binding sites (search by cell/tissue type)	HSMMtube	ENCODE	Encode:Cell, tissue or DNA sample=HSMMtube
Transcription factor binding sites (search by cell/tissue type)	HSMMtube_FSHD	ENCODE	Encode:Cell, tissue or DNA sample=HSMMtube_FSHD
Transcription factor binding sites (search by cell/tissue type)	HSaVEC	ENCODE	Encode:Cell, tissue or DNA sample=HSaVEC
Transcription factor binding sites (search by cell/tissue type)	HT-1080	ENCODE	Encode:Cell, tissue or DNA sample=HT-1080
Transcription factor binding sites (search by cell/tissue type)	HTB-11	ENCODE	Encode:Cell, tissue or DNA sample=HTB-11
Transcription factor binding sites (search by cell/tissue type)	HTR8svn	ENCODE	Encode:Cell, tissue or DNA sample=HTR8svn
Transcription factor binding sites (search by cell/tissue type)	HUVEC	ENCODE	Encode:Cell, tissue or DNA sample=HUVEC
Transcription factor binding sites (search by cell/tissue type)	HVMF	ENCODE	Encode:Cell, tissue or DNA sample=HVMF
Transcription factor binding sites (search by cell/tissue type)	HWP	ENCODE	Encode:Cell, tissue or DNA sample=HWP
Transcription factor binding sites (search by cell/tissue type)	HeLa-S3	ENCODE	Encode:Cell, tissue or DNA sample=HeLa-S3
Transcription factor binding sites (search by cell/tissue type)	Heart_OC	ENCODE	Encode:Cell, tissue or DNA sample=Heart_OC
Transcription factor binding sites (search by cell/tissue type)	HepG2	ENCODE	Encode:Cell, tissue or DNA sample=HepG2
Transcription factor binding sites (search by cell/tissue type)	HepG2b	ENCODE	Encode:Cell, tissue or DNA sample=HepG2b
Transcription factor binding sites (search by cell/tissue type)	Hepatocytes	ENCODE	Encode:Cell, tissue or DNA sample=Hepatocytes
Transcription factor binding sites (search by cell/tissue type)	Huh-7	ENCODE	Encode:Cell, tissue or DNA sample=Huh-7
Transcription factor binding sites (search by cell/tissue type)	Huh-7.5	ENCODE	Encode:Cell, tissue or DNA sample=Huh-7.5
Transcription factor binding sites (search by cell/tissue type)	IMR90	ENCODE	Encode:Cell, tissue or DNA sample=IMR90
Transcription factor binding sites (search by cell/tissue type)	Ishikawa	ENCODE	Encode:Cell, tissue or DNA sample=Ishikawa
Transcription factor binding sites (search by cell/tissue type)	Jurkat	ENCODE	Encode:Cell, tissue or DNA sample=Jurkat
Transcription factor binding sites (search by cell/tissue type)	K562	ENCODE	Encode:Cell, tissue or DNA sample=K562
##Transcription factor binding sites (search by cell/tissue type)	K562b	ENCODE	Encode:Cell, tissue or DNA sample=K562b
Transcription factor binding sites (search by cell/tissue type)	Kidney_OC	ENCODE	Encode:Cell, tissue or DNA sample=Kidney_OC
Transcription factor binding sites (search by cell/tissue type)	LHCN-M2	ENCODE	Encode:Cell, tissue or DNA sample=LHCN-M2
Transcription factor binding sites (search by cell/tissue type)	LNCaP	ENCODE	Encode:Cell, tissue or DNA sample=LNCaP
