MARK	EID	E-Mnemonic	Standardised epigenome name	Epigenome name (from EDACC Release 9 directory)	MARK CLASS	FNAME	NREADS	FRAGLEN	FCC	RLEN	RCC	MINLEN	MINCC	NSC (Signal to noise)	RSC (Phantom Peak)	SPOT	FindPeaks	Poisson	%of Impute Top 1% in Observed Top 1%	Correlation of Imputed with Observed
DNase	E059	SKIN.PEN.FRSK.MEL.01	Foreskin Melanocyte Primary Cells skin01	Penis_Foreskin_Melanocyte_Primary_Cells_skin01	Core	E059-DNase.tagAlign.gz	50000000	80	0.5258504918	45	0.5116396	1500	0.2753432	1.9098	1.06014	0.489	0.474	0.543	44	0.589
DNase	E080	ADRL.GLND.FET	Fetal Adrenal Gland	Fetal_Adrenal_Gland	Core	E080-DNase.tagAlign.gz	43341776	45	0.4762472059	40	0.4753848	1500	0.2356059	2.021372	1.003597	0.439	0.444	0.491	53.9	0.829
DNase	E081	BRN.FET.M	Fetal Brain Male	Fetal_Brain_Male	Core	E081-DNase.tagAlign.gz	50000000	55	0.5079777126	45	0.5036658	1500	0.1560385	3.255464	1.012404	0.639	0.645	0.628	50.6	0.762
DNase	E082	BRN.FET.F	Fetal Brain Female	Fetal_Brain_Female	Core	E082-DNase.tagAlign.gz	26680226	50	0.427337588	45	0.4232445	1500	0.1332615	3.206759	1.014115	0.589	0.599	0.6	56.3	0.794
DNase	E083	HRT.FET	Fetal Heart	Fetal_Heart	Core	E083-DNase.tagAlign.gz	50000000	50	0.4812109278	45	0.4783339	1500	0.3210259	1.498979	1.018289	0.43	0.417	0.53	52.5	0.773
DNase	E084	GI.L.INT.FET	Fetal Intestine Large	Fetal_Intestine_Large	Core	E084-DNase.tagAlign.gz	28689628	50	0.3500450369	45	0.3483493	1500	0.2217161	1.578798	1.013391	0.388	0.39	0.439	63	0.791
DNase	E085	GI.S.INT.FET	Fetal Intestine Small	Fetal_Intestine_Small	Core	E085-DNase.tagAlign.gz	25353195	50	0.3074253039	40	0.3070219	1500	0.2268174	1.355387	1.005029	0.326	0.333	0.393	64.6	0.825
DNase	E086	KID.FET	Fetal Kidney	Fetal_Kidney	Core	E086-DNase.tagAlign.gz	31523848	40	0.4364008692	45	0.4355015	1500	0.1819862	2.397989	1.003548	0.461	0.458	0.493	53.7	0.832
DNase	E088	LNG.FET	Fetal Lung	Fetal_Lung	Core	E088-DNase.tagAlign.gz	50000000	50	0.5029754766	45	0.4983765	1500	0.216576	2.322397	1.01632	0.574	0.596	0.624	58.6	0.827
DNase	E089	MUS.TRNK.FET	Fetal Muscle Trunk	Fetal_Muscle_Trunk	Core	E089-DNase.tagAlign.gz	50000000	50	0.489002326	45	0.484249	1500	0.2715263	1.800939	1.022345	0.436	0.453	0.494	70.1	0.913
DNase	E090	MUS.LEG.FET	Fetal Muscle Leg	Fetal_Muscle_Leg	Core	E090-DNase.tagAlign.gz	50000000	50	0.4798737472	45	0.4750127	1500	0.293829	1.633174	1.026829	0.42	0.442	0.5	68.4	0.898
DNase	E091	PLCNT.FET	Placenta	Fetal_Placenta	Core	E091-DNase.tagAlign.gz	50000000	50	0.4816407792	45	0.4773952	1500	0.2968231	1.622653	1.023512	0.378	0.397	0.449	52	0.741
DNase	E092	GI.STMC.FET	Fetal Stomach	Fetal_Stomach	Core	E092-DNase.tagAlign.gz	50000000	50	0.4618772326	45	0.4589454	1500	0.3302299	1.398653	1.022778	0.317	0.32	0.4	63.3	0.878
DNase	E093	THYM.FET	Fetal Thymus	Fetal_Thymus	Core	E093-DNase.tagAlign.gz	50000000	50	0.4619893977	45	0.4586082	1500	0.3088905	1.495641	1.022584	0.301	0.311	0.348	64.1	0.87
DNase	E094	GI.STMC.GAST	Gastric	Gastric	Core	E094-DNase.tagAlign.gz	44014357	55	0.4198443566	45	0.4183118	1500	0.3095006	1.356522	1.014084	0.223	0.221	0.272	53.5	0.755
DNase	E097	OVRY	Ovary	Ovary	Core	E097-DNase.tagAlign.gz	50000000	45	0.4563660534	40	0.4557933	1500	0.3122642	1.461474	1.00399	0.286	0.308	0.361	56.4	0.836
DNase	E098	PANC	Pancreas	Pancreas	Core	E098-DNase.tagAlign.gz	43085868	55	0.4482570739	45	0.4457345	1500	0.3057507	1.466087	1.01802	0.273	0.26	0.334	59.1	0.818
DNase	E100	MUS.PSOAS	Psoas Muscle	Psoas_Muscle	Core	E100-DNase.tagAlign.gz	40950995	55	0.4604402184	45	0.4577433	1500	0.2637471	1.745764	1.013902	0.371	0.387	0.443	58	0.815
DNase	E109	GI.S.INT	Small Intestine	Small_Intestine	Core	E109-DNase.tagAlign.gz	45831607	50	0.5219388488	45	0.519831	1500	0.2753932	1.89525	1.008623	0.432	0.419	0.477	54.2	0.744
DNase	E114	LNG.A549.ETOH002.CNCR	A549 EtOH 0.02pct Lung Carcinoma Cell Line	A549_EtOH_0.02pct_Lung_Carcinoma	Core	E114-DNase.tagAlign.gz	50000000	50	0.5792201071	45	0.5776174	1500	0.4281872	1.352726	1.010726	0.43	0.258	0.462	54.8	0.729
DNase	E116	BLD.GM12878	GM12878 Lymphoblastoid Cell Line	GM12878_Lymphoblastoid	Core	E116-DNase.tagAlign.gz	47731280	80	0.4817390425	45	0.4736772	1500	0.3353117	1.43669	1.058265	0.396	0.319	0.411	61.5	0.804
DNase	E117	CRVX.HELAS3.CNCR	HeLa-S3 Cervical Carcinoma Cell Line	HeLa-S3_Cervical_Carcinoma	Core	E117-DNase.tagAlign.gz	50000000	100	0.5989824206	45	0.5685261	1500	0.3803733	1.574722	1.16187	0.58	0.394	0.573	54.3	0.653
DNase	E118	LIV.HEPG2.CNCR	HepG2 Hepatocellular Carcinoma Cell Line	HepG2_Hepatocellular_Carcinoma	Core	E118-DNase.tagAlign.gz	44677472	70	0.4822915047	35	0.4542342	1500	0.2464686	1.956807	1.135043	0.591	0.484	0.529	48.2	0.698
DNase	E119	BRST.HMEC	HMEC Mammary Epithelial Primary Cells	HMEC_Mammary_Epithelial	Core	E119-DNase.tagAlign.gz	50000000	80	0.5609949554	40	0.5514821	1500	0.4432801	1.265554	1.087917	0.429	0.257	0.449	68.2	0.821
DNase	E120	MUS.HSMM	HSMM Skeletal Muscle Myoblasts Cell Line	HSMM_Skeletal_Muscle_Myoblasts	Core	E120-DNase.tagAlign.gz	50000000	55	0.5723037955	45	0.5662679	1500	0.3233677	1.769824	1.024849	0.614	0.471	0.596	67.4	0.813
DNase	E121	MUS.HSMMT	HSMM cell derived Skeletal Muscle Myotubes Cell Line	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Core	E121-DNase.tagAlign.gz	50000000	50	0.5722069763	45	0.569246	1500	0.3593328	1.592415	1.014106	0.578	0.449	0.606	69.8	0.859
DNase	E122	VAS.HUVEC	HUVEC Umbilical Vein Endothelial Cells Cell Line	HUVEC_Umbilical_Vein_Endothelial_Cells	Core	E122-DNase.tagAlign.gz	50000000	60	0.4689336368	45	0.464735	1500	0.3422445	1.370172	1.034278	0.351	0.29	0.375	51.8	0.701
DNase	E123	BLD.K562.CNCR	K562 Leukemia Cell Line	K562_Leukemia	Core	E123-DNase.tagAlign.gz	50000000	80	0.5951918665	40	0.5797944	1500	0.4421533	1.346121	1.111866	0.512	0.311	0.541	45.6	0.681
DNase	E124	BLD.CD14.MONO	Monocytes-CD14+ RO01746 Cell Line	Monocytes-CD14+_RO01746	Core	E124-DNase.tagAlign.gz	50000000	65	0.4896239551	45	0.473912	1500	0.185537	2.638955	1.054485	0.52	0.488	0.471	73.2	0.897
DNase	E125	BRN.NHA	NH-A Astrocytes Cell Line	NH-A_Astrocytes	Core	E125-DNase.tagAlign.gz	50000000	60	0.5498610196	45	0.544655	1500	0.291163	1.888499	1.020537	0.554	0.452	0.535	73	0.876
DNase	E126	SKIN.NHDFAD	NHDF-Ad Adult Dermal Fibroblast Primary Cells	NHDF-Ad_Adult_Dermal_Fibroblasts	Core	E126-DNase.tagAlign.gz	50000000	55	0.5601867549	45	0.5526575	1500	0.1439576	3.891332	1.018423	0.77	0.77	0.733	58.5	0.755
DNase	E127	SKIN.NHEK	NHEK-Epidermal Keratinocyte Primary Cells	NHEK-Epidermal_Keratinocytes	Core	E127-DNase.tagAlign.gz	50000000	55	0.4883891424	45	0.4835922	1500	0.3634931	1.343599	1.039942	0.339	0.251	0.351	62	0.768
DNase	E128	LNG.NHLF	NHLF Lung Fibroblast Primary Cells	NHLF_Lung_Fibroblasts	Core	E128-DNase.tagAlign.gz	50000000	55	0.5761126084	45	0.5691376	1500	0.2906076	1.982442	1.025042	0.618	0.496	0.59	61.3	0.794
H2A.Z	E003	ESC.H1	H1 Cell Line	H1_Cell_Line	Class1	E003-H2A.Z.tagAlign.gz	8121158	140	0.1190971661	40	0.1090499	1500	0.1003304	1.18705	2.152264	0.24	0.12	0.37	24	0.392
H2A.Z	E005	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	Class1	E005-H2A.Z.tagAlign.gz	19539869	140	0.2501736624	35	0.2435884	1500	0.2172079	1.15177	1.249628	0.28	0.22	0.48	52.7	0.737
H2A.Z	E006	ESDR.H1.MSC	H1 Derived Mesenchymal Stem Cells	H1_Derived_Mesenchymal_Stem_Cells	Class1	E006-H2A.Z.tagAlign.gz	18950133	130	0.2337870218	35	0.2256677	1500	0.207799	1.125063	1.454387	0.17	0.09	0.39	41.6	0.666
H2A.Z	E008	ESC.H9	H9 Cell Line	H9_Cell_Line	Class1	E008-H2A.Z.tagAlign.gz	45000000	130	0.40016257	35	0.3884829	1500	0.3737008	1.07081	1.790122	0.16	0.07	0.3	33.8	0.511
H2A.Z	E009	ESDR.H9.NEUR.PROG	H9 Derived Neuronal Progenitor Cultured Cells	H9_Derived_Neuronal_Progenitor_Cultured_Cells	Class1	E009-H2A.Z.tagAlign.gz	45000000	190	0.4594877089	35	0.4306166	1500	0.368092	1.248296	1.461757	0.37	0.32	0.46	72.1	0.855
H2A.Z	E010	ESDR.H9.NEUR	H9 Derived Neuron Cultured Cells	H9_Derived_Neuron_Cultured_Cells	Class1	E010-H2A.Z.tagAlign.gz	19771741	310	0.2314750141	35	0.2288318	1500	0.2150662	1.076297	1.192013	0.15	0.11	0.31	62.7	0.749
H2A.Z	E017	LNG.IMR90	IMR90 fetal lung fibroblasts Cell Line	IMR90_Cell_Line	Class1	E017-H2A.Z.tagAlign.gz	45000000	130	0.4461981646	35	0.4169906	1500	0.3657221	1.220047	1.569699	0.34	0.26	0.46	62.4	0.807
H2A.Z	E114	LNG.A549.ETOH002.CNCR	A549 EtOH 0.02pct Lung Carcinoma Cell Line	A549_EtOH_0.02pct_Lung_Carcinoma	Class1	E114-H2A.Z.tagAlign.gz	43949662	240	0.4018937015	35	0.4008234	1500	0.3731753	1.076957	1.038711	0.22	0.16	0.35	66	0.787
H2A.Z	E115	BLD.DND41.CNCR	Dnd41 TCell Leukemia Cell Line	Dnd41_TCell_Leukemia	Class1	E115-H2A.Z.tagAlign.gz	38035092	140	0.3953593486	35	0.3835024	1500	0.335619	1.178	1.247621	0.2	0.18	0.3	64.6	0.844
H2A.Z	E116	BLD.GM12878	GM12878 Lymphoblastoid Cell Line	GM12878_Lymphoblastoid	Class1	E116-H2A.Z.tagAlign.gz	29200617	150	0.3447009659	35	0.3290166	1500	0.2813792	1.225041	1.329244	0.28	0.27	0.38	65.3	0.828
H2A.Z	E117	CRVX.HELAS3.CNCR	HeLa-S3 Cervical Carcinoma Cell Line	HeLa-S3_Cervical_Carcinoma	Class1	E117-H2A.Z.tagAlign.gz	45000000	155	0.3979364194	35	0.3982684	1500	0.3780753	1.052532	0.9835617	0.15	0.08	0.28	60	0.778
H2A.Z	E118	LIV.HEPG2.CNCR	HepG2 Hepatocellular Carcinoma Cell Line	HepG2_Hepatocellular_Carcinoma	Class1	E118-H2A.Z.tagAlign.gz	45000000	180	0.3998940003	30	0.3989052	1500	0.3840711	1.041198	1.066656	0.13	0.07	0.27	45.1	0.619
H2A.Z	E119	BRST.HMEC	HMEC Mammary Epithelial Primary Cells	HMEC_Mammary_Epithelial	Class1	E119-H2A.Z.tagAlign.gz	31219850	175	0.3730862269	35	0.3517689	1500	0.287219	1.298961	1.330246	0.34	0.33	0.45	72.3	0.888
H2A.Z	E120	MUS.HSMM	HSMM Skeletal Muscle Myoblasts Cell Line	HSMM_Skeletal_Muscle_Myoblasts	Class1	E120-H2A.Z.tagAlign.gz	33013961	150	0.3679801539	35	0.3555982	1500	0.303912	1.210812	1.23956	0.28	0.26	0.4	73.1	0.889
H2A.Z	E121	MUS.HSMMT	HSMM cell derived Skeletal Muscle Myotubes Cell Line	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	Class1	E121-H2A.Z.tagAlign.gz	27613092	180	0.3243166802	35	0.3158172	1500	0.2692004	1.204741	1.182327	0.27	0.24	0.39	72.3	0.887
H2A.Z	E122	VAS.HUVEC	HUVEC Umbilical Vein Endothelial Cells Cell Line	HUVEC_Umbilical_Vein_Endothelial_Cells	Class1	E122-H2A.Z.tagAlign.gz	45000000	150	0.4492812378	35	0.4295554	1500	0.3667671	1.224977	1.314165	0.36	0.31	0.45	67.6	0.841
H2A.Z	E123	BLD.K562.CNCR	K562 Leukemia Cell Line	K562_Leukemia	Class1	E123-H2A.Z.tagAlign.gz	34302966	150	0.4008013191	35	0.3818775	1500	0.3233132	1.239669	1.323129	0.36	0.37	0.5	58.1	0.762
H2A.Z	E124	BLD.CD14.MONO	Monocytes-CD14+ RO01746 Cell Line	Monocytes-CD14+_RO01746	Class1	E124-H2A.Z.tagAlign.gz	19443230	225	0.2591305409	35	0.2492506	1500	0.2136677	1.212774	1.27766	0.28	0.24	0.41	68.5	0.821
H2A.Z	E125	BRN.NHA	NH-A Astrocytes Cell Line	NH-A_Astrocytes	Class1	E125-H2A.Z.tagAlign.gz	35640816	175	0.3553528762	35	0.3528421	1500	0.3235638	1.098247	1.085757	0.15	0.12	0.26	73.4	0.881
H2A.Z	E126	SKIN.NHDFAD	NHDF-Ad Adult Dermal Fibroblast Primary Cells	NHDF-Ad_Adult_Dermal_Fibroblasts	Class1	E126-H2A.Z.tagAlign.gz	36599760	170	0.366338918	35	0.359369	1500	0.3317242	1.104348	1.252123	0.17	0.13	0.3	65.6	0.817
H2A.Z	E127	SKIN.NHEK	NHEK-Epidermal Keratinocyte Primary Cells	NHEK-Epidermal_Keratinocytes	Class1	E127-H2A.Z.tagAlign.gz	45000000	140	0.4189596466	35	0.4089587	1500	0.373012	1.12318	1.278215	0.27	0.23	0.39	64.8	0.834
H2A.Z	E128	LNG.NHLF	NHLF Lung Fibroblast Primary Cells	NHLF_Lung_Fibroblasts	Class1	E128-H2A.Z.tagAlign.gz	45000000	135	0.4214002394	35	0.4104838	1500	0.3734237	1.128478	1.29456	0.28	0.22	0.41	63.9	0.823
H2A.Z	E129	BONE.OSTEO	Osteoblast Primary Cells	Osteoblasts	Class1	E129-H2A.Z.tagAlign.gz	45000000	170	0.4176886299	35	0.4068752	1500	0.37286	1.120229	1.3179	0.26	0.2	0.38	67.1	0.848
H2AK5ac	E003	ESC.H1	H1 Cell Line	H1_Cell_Line	Class1	E003-H2AK5ac.tagAlign.gz	40896776	100	0.372626921	35	0.3717886	1500	0.3561613	1.046231	1.053645	0.07	0.01	0.23	29.8	0.598
H2AK5ac	E004	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Class1	E004-H2AK5ac.tagAlign.gz	45000000	130	0.3880706354	35	0.3860256	1500	0.3754099	1.033725	1.192647	0.14	0.03	0.32	25.8	0.558
H2AK5ac	E005	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	Class1	E005-H2AK5ac.tagAlign.gz	45000000	135	0.4232241089	35	0.4117351	1500	0.3889026	1.088252	1.503185	0.33	0.28	0.53	58.2	0.794
H2AK5ac	E006	ESDR.H1.MSC	H1 Derived Mesenchymal Stem Cells	H1_Derived_Mesenchymal_Stem_Cells	Class1	E006-H2AK5ac.tagAlign.gz	45000000	120	0.3487663321	35	0.3407154	1500	0.3283145	1.062293	1.649223	0.24	0.14	0.4	27.1	0.55
H2AK5ac	E007	ESDR.H1.NEUR.PROG	H1 Derived Neuronal Progenitor Cultured Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells	Class1	E007-H2AK5ac.tagAlign.gz	45000000	100	0.4014073154	35	0.3983426	1500	0.3824549	1.049555	1.192898	0.2	0.09	0.41	29.8	0.658
H2AK5ac	E008	ESC.H9	H9 Cell Line	H9_Cell_Line	Class1	E008-H2AK5ac.tagAlign.gz	45000000	120	0.3870482192	30	0.3879117	1500	0.3766971	1.027479	0.9230079	0.09	0.01	0.24	19.5	0.547
H2AK5ac	E017	LNG.IMR90	IMR90 fetal lung fibroblasts Cell Line	IMR90_Cell_Line	Class1	E017-H2AK5ac.tagAlign.gz	30984740	100	0.3748589278	45	0.3559576	1500	0.3200172	1.171371	1.525908	0.42	0.44	0.62	57.6	0.727
H2AK9ac	E017	LNG.IMR90	IMR90 fetal lung fibroblasts Cell Line	IMR90_Cell_Line	Class1	E017-H2AK9ac.tagAlign.gz	45000000	120	0.2416450312	35	0.2353426	1500	0.2211557	1.092647	1.444245	0.33	0.15	0.44		
H2BK120ac	E003	ESC.H1	H1 Cell Line	H1_Cell_Line	Class1	E003-H2BK120ac.tagAlign.gz	38870659	125	0.3555764742	35	0.3569282	1500	0.3454176	1.02941	0.8825674	0.07	0.01	0.18	34.4	0.582
H2BK120ac	E004	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Class1	E004-H2BK120ac.tagAlign.gz	29709678	145	0.3072615524	35	0.3060905	1500	0.2921161	1.051847	1.083801	0.1	0.04	0.31	44.1	0.664
H2BK120ac	E005	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	Class1	E005-H2BK120ac.tagAlign.gz	29539483	135	0.345171984	35	0.3302919	1500	0.3021831	1.142261	1.529373	0.3	0.29	0.48	70	0.839
H2BK120ac	E006	ESDR.H1.MSC	H1 Derived Mesenchymal Stem Cells	H1_Derived_Mesenchymal_Stem_Cells	Class1	E006-H2BK120ac.tagAlign.gz	16339422	150	0.2047707357	35	0.2019722	1500	0.1902787	1.076162	1.239326	0.18	0.12	0.36	44.9	0.643
H2BK120ac	E007	ESDR.H1.NEUR.PROG	H1 Derived Neuronal Progenitor Cultured Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells	Class1	E007-H2BK120ac.tagAlign.gz	37263707	110	0.3486483291	35	0.3458031	1500	0.3304972	1.054921	1.185891	0.06	0.01	0.28	23.2	0.563
H2BK120ac	E008	ESC.H9	H9 Cell Line	H9_Cell_Line	Class1	E008-H2BK120ac.tagAlign.gz	9982699	150	0.126487129	35	0.1297543	1500	0.1224585	1.032898	0.5521851	0.13	0.05	0.29	22	0.416
H2BK120ac	E017	LNG.IMR90	IMR90 fetal lung fibroblasts Cell Line	IMR90_Cell_Line	Class1	E017-H2BK120ac.tagAlign.gz	41714212	120	0.4920056642	45	0.455367	1500	0.3898356	1.262085	1.559101	0.51	0.54	0.65	72.7	0.86
H2BK12ac	E003	ESC.H1	H1 Cell Line	H1_Cell_Line	Class1	E003-H2BK12ac.tagAlign.gz	40595600	100	0.3783256979	35	0.3727322	1500	0.3545715	1.066994	1.308003	0.11	0.04	0.3	41.2	0.675
H2BK12ac	E005	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	Class1	E005-H2BK12ac.tagAlign.gz	45000000	130	0.431812125	35	0.4154887	1500	0.3884922	1.111508	1.604651	0.37	0.35	0.54	63.1	0.839
H2BK12ac	E006	ESDR.H1.MSC	H1 Derived Mesenchymal Stem Cells	H1_Derived_Mesenchymal_Stem_Cells	Class1	E006-H2BK12ac.tagAlign.gz	45000000	115	0.2616473928	35	0.2519389	1500	0.2332732	1.121635	1.520126	0.41	0.29	0.51	55.6	0.744
H2BK12ac	E007	ESDR.H1.NEUR.PROG	H1 Derived Neuronal Progenitor Cultured Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells	Class1	E007-H2BK12ac.tagAlign.gz	36581817	130	0.3274926696	35	0.328297	1500	0.3132765	1.045379	0.9464493	0.08	0.02	0.3	32.9	0.64
H2BK12ac	E008	ESC.H9	H9 Cell Line	H9_Cell_Line	Class1	E008-H2BK12ac.tagAlign.gz	45000000	130	0.3901708676	30	0.3898844	1500	0.377388	1.033872	1.022922	0.11	0.02	0.27	29.1	0.618
H2BK12ac	E017	LNG.IMR90	IMR90 fetal lung fibroblasts Cell Line	IMR90_Cell_Line	Class1	E017-H2BK12ac.tagAlign.gz	45000000	120	0.4828137782	45	0.4488187	1500	0.4024	1.199835	1.732357	0.54	0.56	0.66	73.5	0.858
H2BK15ac	E003	ESC.H1	H1 Cell Line	H1_Cell_Line	Class1	E003-H2BK15ac.tagAlign.gz	45000000	110	0.3935666528	35	0.3920604	1500	0.3787735	1.039055	1.113364	0.13	0.03	0.31	24.7	0.591
H2BK15ac	E004	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Class1	E004-H2BK15ac.tagAlign.gz	34298678	145	0.3299119663	40	0.3284585	1500	0.3211866	1.027166	1.199875	0.05	0	0.26	25.6	0.512
